Owner,Repo,Number,SHA,Author,A_Date,Committer,C_Date,Message
Vyvy-vi-archives,lets-troll-ryan,3,5d1757690f66f3253e5cd73910274bd73d6af7bf,dependabot-preview[bot],2021-04-05 12:27:10,GitHub,2021-04-05 12:27:10,build(deps): [security] bump elliptic from 6.5.3 to 6.5.4  Bumps [elliptic](https://github.com/indutny/elliptic) from 6.5.3 to 6.5.4. **This update includes a security fix.** - [Release notes](https://github.com/indutny/elliptic/releases) - [Commits](https://github.com/indutny/elliptic/compare/v6.5.3...v6.5.4)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
andyesys,npgsql,37,1d2089a3fce8f3e9b0cc4cf65b446ed2399333e5,dependabot-preview[bot],2021-04-05 15:55:38,GitHub,2021-04-05 15:55:38,[Security] Bump System.Net.Security from 4.3.0 to 4.3.1  Bumps System.Net.Security from 4.3.0 to 4.3.1. **This update includes a security fix.**  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
lucaspanjer,activemq,6,1198bd5a53780a6caf9ec2645ad5a4b3451cac50,dependabot-preview[bot],2021-04-05 13:49:39,GitHub,2021-04-05 13:49:39,[Security] Bump netty-all-version from 4.1.53.Final to 4.1.63.Final  Bumps `netty-all-version` from 4.1.53.Final to 4.1.63.Final.  Updates `netty-buffer` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Updates `netty-common` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Updates `netty-handler` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Updates `netty-codec-http` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Updates `netty-transport` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Updates `netty-all` from 4.1.53.Final to 4.1.63.Final - [Release notes](https://github.com/netty/netty/releases) - [Commits](https://github.com/netty/netty/compare/netty-4.1.53.Final...netty-4.1.63.Final)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
andyesys,npgsql,36,3b143f52964e4a5cccd5a945cecfb64f880a5c4f,dependabot-preview[bot],2021-04-05 15:55:36,GitHub,2021-04-05 15:55:36,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2  Bumps System.Net.Http from 4.3.1 to 4.3.2. **This update includes a security fix.**  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
mowatermelon,learning-angular-webapp,59,8f2868fe2a977f3e3e88493d01961f0f233bbe1f,dependabot-preview[bot],2021-04-05 12:16:21,GitHub,2021-04-05 12:16:21,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
status-board,core,303,fedc7fc798557ad82ce00e06e2967ddfa84cb17e,dependabot-preview[bot],2021-04-05 11:50:51,GitHub,2021-04-05 11:50:51,chore(deps): [security] bump socket.io from 2.2.0 to 4.0.1  Bumps [socket.io](https://github.com/socketio/socket.io) from 2.2.0 to 4.0.1. **This update includes a security fix.** - [Release notes](https://github.com/socketio/socket.io/releases) - [Changelog](https://github.com/socketio/socket.io/blob/master/CHANGELOG.md) - [Commits](https://github.com/socketio/socket.io/compare/2.2.0...4.0.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ipfs,js-dag-service,446,f450c5b236c8ce7ec13d113b92171c353814c543,dependabot-preview[bot],2021-04-05 11:32:38,GitHub,2021-04-05 11:32:38,build(deps): [Security] Bump highlight.js from 10.1.2 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.1.2 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.1.2...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
msrose,node-package,41,21f1a561e9509faaa1e54f8d017ed9f3be2651fe,dependabot-preview[bot],2021-04-05 11:32:33,GitHub,2021-04-05 11:32:33,chore: [security] bump npm from 6.13.6 to 6.14.12  Bumps [npm](https://github.com/npm/cli) from 6.13.6 to 6.14.12. **This update includes a security fix.** - [Release notes](https://github.com/npm/cli/releases) - [Changelog](https://github.com/npm/cli/blob/v6.14.12/CHANGELOG.md) - [Commits](https://github.com/npm/cli/compare/v6.13.6...v6.14.12)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
mondeja,remove-labels-gh-action,3,79fb8b6560eb20e67c26ba3652a3e25c5d00c87d,dependabot-preview[bot],2021-04-05 11:31:50,GitHub,2021-04-05 11:31:50,[Security] Bump node-notifier from 8.0.0 to 8.0.2  Bumps [node-notifier](https://github.com/mikaelbr/node-notifier) from 8.0.0 to 8.0.2. **This update includes a security fix.** - [Release notes](https://github.com/mikaelbr/node-notifier/releases) - [Changelog](https://github.com/mikaelbr/node-notifier/blob/master/CHANGELOG.md) - [Commits](https://github.com/mikaelbr/node-notifier/compare/v8.0.0...v8.0.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
Meadowsys,sani,80,586747d355c08be57dbc1c22a7028a566efe04dc,dependabot-preview[bot],2021-04-05 11:29:26,GitHub,2021-04-05 11:29:26,[Security] Bump highlight.js from 10.2.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.2.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.2.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
sayrilamar,react-color,120,7f331c8aa09595ab2fde6c3802e96e47a8beead2,dependabot-preview[bot],2021-04-05 11:24:55,GitHub,2021-04-05 11:24:55,[Security] Bump highlight.js from 9.18.5 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.18.5 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.18.5...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
helpyio,helpy,1973,4e8e9ce46aba796547f05e12afadbf4db79247c3,dependabot-preview[bot],2021-04-05 11:52:17,GitHub,2021-04-05 11:52:17,Upgrade: Bump rexml from 3.2.4 to 3.2.5  Bumps [rexml](https://github.com/ruby/rexml) from 3.2.4 to 3.2.5. - [Release notes](https://github.com/ruby/rexml/releases) - [Changelog](https://github.com/ruby/rexml/blob/master/NEWS.md) - [Commits](https://github.com/ruby/rexml/compare/v3.2.4...v3.2.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aemc,goal-coach,22,eeb83342f81818ea5b141b74de719475d8040ce3,dependabot-preview[bot],2021-04-05 11:19:41,GitHub,2021-04-05 11:19:41,[Security] Bump y18n from 3.2.1 to 3.2.2  Bumps [y18n](https://github.com/yargs/y18n) from 3.2.1 to 3.2.2. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
uwpokerclub,app,32,fc8b2918873054962224349510c134a6be9c5a6f,dependabot-preview[bot],2021-04-05 11:19:23,GitHub,2021-04-05 11:19:23,build(deps): [security] bump react-dev-utils from 11.0.3 to 11.0.4  Bumps [react-dev-utils](https://github.com/facebook/create-react-app/tree/HEAD/packages/react-dev-utils) from 11.0.3 to 11.0.4. **This update includes a security fix.** - [Release notes](https://github.com/facebook/create-react-app/releases) - [Changelog](https://github.com/facebook/create-react-app/blob/master/CHANGELOG-1.x.md) - [Commits](https://github.com/facebook/create-react-app/commits/HEAD/packages/react-dev-utils)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aemc,jest,28,4a89d6fcdf8f7e545f855ffcc38d48a4f08abd90,dependabot-preview[bot],2021-04-05 11:18:57,GitHub,2021-04-05 11:18:57,[Security] Bump codecov from 2.3.0 to 3.7.1  Bumps [codecov](https://github.com/codecov/codecov-node) from 2.3.0 to 3.7.1. **This update includes security fixes.** - [Release notes](https://github.com/codecov/codecov-node/releases) - [Changelog](https://github.com/codecov/codecov-node/blob/master/CHANGELOG.md) - [Commits](https://github.com/codecov/codecov-node/commits/v3.7.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
pilleye,jumpstart,78,d0b36d9b6488caee7721f4b5ef70728438841f6a,dependabot-preview[bot],2021-04-05 11:34:09,GitHub,2021-04-05 11:34:09,Bump ansible from 2.9.7 to 3.2.0  Bumps [ansible](https://github.com/ansible/ansible) from 2.9.7 to 3.2.0. - [Release notes](https://github.com/ansible/ansible/releases) - [Commits](https://github.com/ansible/ansible/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aemc,goal-coach,21,0be61dffecb6d68b3364eeae7bc37e9248f0d1b7,dependabot-preview[bot],2021-04-05 11:17:27,GitHub,2021-04-05 11:17:27,[Security] Bump eslint-utils from 1.3.1 to 1.4.3  Bumps [eslint-utils](https://github.com/mysticatea/eslint-utils) from 1.3.1 to 1.4.3. **This update includes security fixes.** - [Release notes](https://github.com/mysticatea/eslint-utils/releases) - [Commits](https://github.com/mysticatea/eslint-utils/compare/v1.3.1...v1.4.3)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aemc,material-ui,21,c4c63999a05b6524b3b21ba17a24b1fb3c154ab1,dependabot-preview[bot],2021-04-05 11:17:23,GitHub,2021-04-05 11:17:23,[Security] Bump marked from 0.5.1 to 0.7.0  Bumps [marked](https://github.com/markedjs/marked) from 0.5.1 to 0.7.0. **This update includes a security fix.** - [Release notes](https://github.com/markedjs/marked/releases) - [Changelog](https://github.com/markedjs/marked/blob/master/release.config.js) - [Commits](https://github.com/markedjs/marked/compare/v0.5.1...v0.7.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
status-board,status-board,1165,4e3bd0faa9711c26d2111be2de0eb33ba2b8525b,dependabot-preview[bot],2021-04-05 11:49:00,GitHub,2021-04-05 11:49:00,chore(deps): [security] bump socket.io from 2.3.0 to 4.0.1  Bumps [socket.io](https://github.com/socketio/socket.io) from 2.3.0 to 4.0.1. **This update includes a security fix.** - [Release notes](https://github.com/socketio/socket.io/releases) - [Changelog](https://github.com/socketio/socket.io/blob/master/CHANGELOG.md) - [Commits](https://github.com/socketio/socket.io/compare/2.3.0...4.0.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ganoninc,gulp-webserver,52,017bf416cb582a5038edc4a2ae3f80e5afabc418,dependabot-preview[bot],2021-04-05 11:12:48,GitHub,2021-04-05 11:12:48,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
moimikey,imagesloaded,44,910bee36e6a2d227fe3b663db082f4f34be2e854,dependabot-preview[bot],2021-04-05 11:11:39,GitHub,2021-04-05 11:11:39,[Security] Bump highlight.js from 8.9.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 8.9.1 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/8.9.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
mrlynn,meanstore,670,7c1abe64d05a57566e3719325dcbe6fe1ce9a657,dependabot-preview[bot],2021-04-05 11:02:55,GitHub,2021-04-05 11:02:55,[Security] Bump highlight.js from 9.17.1 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 9.17.1 to 10.7.2. **This update includes security fixes.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/9.17.1...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
piemasters,MiniToTheMax,1539,c13c403f7941f920606abcbaefb58108bd9a02a4,dependabot-preview[bot],2021-04-05 11:00:02,GitHub,2021-04-05 11:00:02,chore(deps): [security] bump react-dev-utils from 11.0.3 to 11.0.4  Bumps [react-dev-utils](https://github.com/facebook/create-react-app/tree/HEAD/packages/react-dev-utils) from 11.0.3 to 11.0.4. **This update includes a security fix.** - [Release notes](https://github.com/facebook/create-react-app/releases) - [Changelog](https://github.com/facebook/create-react-app/blob/master/CHANGELOG-1.x.md) - [Commits](https://github.com/facebook/create-react-app/commits/HEAD/packages/react-dev-utils)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
yotie,micron,102,8eb5ba026ed41b903d8a12beba1d495e539c7361,dependabot-preview[bot],2021-04-05 10:57:52,GitHub,2021-04-05 10:57:52,chore(deps): [security] bump highlight.js from 10.3.2 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.3.2 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.3.2...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,mxb,10,8c678f00160d53abc565aeb0fadbc13591728771,dependabot-preview[bot],2021-04-05 10:56:08,GitHub,2021-04-05 10:56:08,Bump sanitize-html from 2.3.0 to 2.3.3  Bumps [sanitize-html](https://github.com/apostrophecms/sanitize-html) from 2.3.0 to 2.3.3. - [Release notes](https://github.com/apostrophecms/sanitize-html/releases) - [Changelog](https://github.com/apostrophecms/sanitize-html/blob/main/CHANGELOG.md) - [Commits](https://github.com/apostrophecms/sanitize-html/compare/2.3.0...2.3.3)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,react-covid-tracker,10,3347b87eb254fc43afe25bce836374badd4a5a2d,dependabot-preview[bot],2021-04-05 10:55:35,GitHub,2021-04-05 10:55:35,Bump chart.js from 2.9.3 to 2.9.4  Bumps [chart.js](https://github.com/chartjs/Chart.js) from 2.9.3 to 2.9.4. - [Release notes](https://github.com/chartjs/Chart.js/releases) - [Commits](https://github.com/chartjs/Chart.js/compare/v2.9.3...v2.9.4)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
belsrc,react-ts-demo,171,a4a98763c0e46cc22388409a79f90b41731fda45,dependabot-preview[bot],2021-04-05 11:17:46,GitHub,2021-04-05 11:17:46,build(deps): [security] bump yargs-parser from 5.0.0 to 5.0.1  Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 5.0.0 to 5.0.1. **This update includes a security fix.** - [Release notes](https://github.com/yargs/yargs-parser/releases) - [Changelog](https://github.com/yargs/yargs-parser/blob/v5.0.1/CHANGELOG.md) - [Commits](https://github.com/yargs/yargs-parser/compare/v5.0.0...v5.0.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,mxb,8,48125b8251feda8af40f1a9cde7785e9f6d20e26,dependabot-preview[bot],2021-04-05 10:52:54,GitHub,2021-04-05 10:52:54,Bump lodash from 4.17.20 to 4.17.21  Bumps [lodash](https://github.com/lodash/lodash) from 4.17.20 to 4.17.21. - [Release notes](https://github.com/lodash/lodash/releases) - [Commits](https://github.com/lodash/lodash/compare/4.17.20...4.17.21)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
usgs,nwisweb-tableau-data-connector,261,b3438304c1103b96fb02309bc3dfe0134003dd13,dependabot-preview[bot],2021-04-05 10:50:25,GitHub,2021-04-05 10:50:25,[Security] Bump highlight.js from 10.4.0 to 10.7.2  Bumps [highlight.js](https://github.com/highlightjs/highlight.js) from 10.4.0 to 10.7.2. **This update includes a security fix.** - [Release notes](https://github.com/highlightjs/highlight.js/releases) - [Changelog](https://github.com/highlightjs/highlight.js/blob/10.7.2/CHANGES.md) - [Commits](https://github.com/highlightjs/highlight.js/compare/10.4.0...10.7.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,mxbstr,8,d1e179d17abd9072838a20c2f9721c3486d1dc5c,dependabot-preview[bot],2021-04-05 10:50:16,GitHub,2021-04-05 10:50:16,[Security] Bump prismjs from 1.22.0 to 1.23.0  Bumps [prismjs](https://github.com/PrismJS/prism) from 1.22.0 to 1.23.0. **This update includes a security fix.** - [Release notes](https://github.com/PrismJS/prism/releases) - [Changelog](https://github.com/PrismJS/prism/blob/master/CHANGELOG.md) - [Commits](https://github.com/PrismJS/prism/compare/v1.22.0...v1.23.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,lauracharvey,8,e7cb8cf443e92c72f8372aff74dfcc10ddf61a3e,dependabot-preview[bot],2021-04-05 10:50:13,GitHub,2021-04-05 10:50:13,[Security] Bump axios from 0.19.2 to 0.21.1  Bumps [axios](https://github.com/axios/axios) from 0.19.2 to 0.21.1. **This update includes a security fix.** - [Release notes](https://github.com/axios/axios/releases) - [Changelog](https://github.com/axios/axios/blob/master/CHANGELOG.md) - [Commits](https://github.com/axios/axios/compare/v0.19.2...v0.21.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,react-covid-tracker,8,9b7b73b6e5a2dc08e1595e0bd084516d48f342e5,dependabot-preview[bot],2021-04-05 10:49:58,GitHub,2021-04-05 10:49:58,[Security] Bump axios from 0.19.2 to 0.21.1  Bumps [axios](https://github.com/axios/axios) from 0.19.2 to 0.21.1. **This update includes a security fix.** - [Release notes](https://github.com/axios/axios/releases) - [Changelog](https://github.com/axios/axios/blob/master/CHANGELOG.md) - [Commits](https://github.com/axios/axios/compare/v0.19.2...v0.21.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,portfolio-dnd,10,b050d407e4d79198abdf6d12c85b137d9087a94c,dependabot-preview[bot],2021-04-05 10:48:16,GitHub,2021-04-05 10:48:16,[Security] Bump gsap from 3.5.1 to 3.6.0  Bumps [gsap](https://github.com/greensock/GSAP) from 3.5.1 to 3.6.0. **This update includes a security fix.** - [Release notes](https://github.com/greensock/GSAP/releases) - [Commits](https://github.com/greensock/GSAP/compare/3.5.1...3.6.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,eb-products,17,4df7970cdd8f29bba6e48f6924657a3896d95c33,dependabot-preview[bot],2021-04-05 10:48:12,GitHub,2021-04-05 10:48:12,[Security] Bump axios from 0.19.2 to 0.21.1  Bumps [axios](https://github.com/axios/axios) from 0.19.2 to 0.21.1. **This update includes a security fix.** - [Release notes](https://github.com/axios/axios/releases) - [Changelog](https://github.com/axios/axios/blob/master/CHANGELOG.md) - [Commits](https://github.com/axios/axios/compare/v0.19.2...v0.21.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
decentraland,builder,1288,08af4e9e2f83eed5485d5b261ec53058cf79875f,dependabot-preview[bot],2021-04-14 19:21:05,GitHub,2021-04-14 19:21:05,chore(deps): [security] bump react-dev-utils from 7.0.5 to 11.0.4  Bumps [react-dev-utils](https://github.com/facebook/create-react-app/tree/HEAD/packages/react-dev-utils) from 7.0.5 to 11.0.4. **This update includes a security fix.** - [Release notes](https://github.com/facebook/create-react-app/releases) - [Changelog](https://github.com/facebook/create-react-app/blob/master/CHANGELOG-1.x.md) - [Commits](https://github.com/facebook/create-react-app/commits/HEAD/packages/react-dev-utils)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,pokedex,13,2978bbee6d2c2342a7a52eaa077fe6fc98c2c55b,dependabot-preview[bot],2021-04-05 10:47:51,GitHub,2021-04-05 10:47:51,[Security] Bump react from 0.0.0-experimental-f6b8d31a7 to 0.14.0  Bumps [react](https://github.com/facebook/react/tree/HEAD/packages/react) from 0.0.0-experimental-f6b8d31a7 to 0.14.0. **This update includes a security fix.** - [Release notes](https://github.com/facebook/react/releases) - [Changelog](https://github.com/facebook/react/blob/master/CHANGELOG.md) - [Commits](https://github.com/facebook/react/commits/v0.14.0/packages/react)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,react-hackernews,12,0ce26cfcd3adad01422d5133bffa2a70d5d05c5c,dependabot-preview[bot],2021-04-05 10:47:38,GitHub,2021-04-05 10:47:38,[Security] Bump axios from 0.19.2 to 0.21.1  Bumps [axios](https://github.com/axios/axios) from 0.19.2 to 0.21.1. **This update includes a security fix.** - [Release notes](https://github.com/axios/axios/releases) - [Changelog](https://github.com/axios/axios/blob/master/CHANGELOG.md) - [Commits](https://github.com/axios/axios/compare/v0.19.2...v0.21.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
ruhacks,quill,29,cbd014d830a0077902aee447cc9cd9cd23d0b5fd,dependabot-preview[bot],2021-04-05 10:52:59,GitHub,2021-04-05 10:52:59,[Security] Bump yargs-parser from 5.0.0 to 5.0.1  Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 5.0.0 to 5.0.1. **This update includes a security fix.** - [Release notes](https://github.com/yargs/yargs-parser/releases) - [Changelog](https://github.com/yargs/yargs-parser/blob/v5.0.1/CHANGELOG.md) - [Commits](https://github.com/yargs/yargs-parser/compare/v5.0.0...v5.0.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,starter-nextjs-bus,8,f357ffd94b3fa75e3cec24fe5ff5751131ca3d56,dependabot-preview[bot],2021-04-05 10:46:32,GitHub,2021-04-05 10:46:32,[Security] Bump next-auth from 3.2.0 to 3.3.0  Bumps [next-auth](https://github.com/nextauthjs/next-auth) from 3.2.0 to 3.3.0. **This update includes a security fix.** - [Release notes](https://github.com/nextauthjs/next-auth/releases) - [Changelog](https://github.com/nextauthjs/next-auth/blob/main/CHANGELOG.md) - [Commits](https://github.com/nextauthjs/next-auth/compare/v3.2.0...v3.3.0)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
mattblubaugh,javascript-development-environment,65,d7e0681b3708912aefa30f25c356c3d87ed5cdb9,dependabot-preview[bot],2021-04-05 10:41:21,GitHub,2021-04-05 10:41:21,[Security] Bump open from 0.0.5 to 8.0.5  Bumps [open](https://github.com/sindresorhus/open) from 0.0.5 to 8.0.5. **This update includes security fixes.** - [Release notes](https://github.com/sindresorhus/open/releases) - [Commits](https://github.com/sindresorhus/open/commits/v8.0.5)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
mark-monteiro,smokes-lets-go,28,87ba00da32162a5b740a55d46fe36660fa8e5f98,dependabot-preview[bot],2021-04-05 10:39:49,GitHub,2021-04-05 10:39:49,[Security] Bump kramdown from 2.3.0 to 2.3.1  Bumps [kramdown](https://github.com/gettalong/kramdown) from 2.3.0 to 2.3.1. **This update includes security fixes.** - [Release notes](https://github.com/gettalong/kramdown/releases) - [Changelog](https://github.com/gettalong/kramdown/blob/master/doc/news.page) - [Commits](https://github.com/gettalong/kramdown/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
rogeriorioli,personal_lp_nextjs,38,35855f3e369a90cd2a962f2c9cd663e2e169afd4,dependabot-preview[bot],2021-04-05 10:36:04,GitHub,2021-04-05 10:36:04,[Security] Bump npm from 6.9.0 to 6.14.12  Bumps [npm](https://github.com/npm/cli) from 6.9.0 to 6.14.12. **This update includes security fixes.** - [Release notes](https://github.com/npm/cli/releases) - [Changelog](https://github.com/npm/cli/blob/v6.14.12/CHANGELOG.md) - [Commits](https://github.com/npm/cli/compare/v6.9.0...v6.14.12)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
remotehour,rrule-duration,10,af3df305afdc3070b93475de44038e2b01a694ed,dependabot-preview[bot],2021-04-05 10:32:12,GitHub,2021-04-05 10:32:12,[Security] Bump y18n from 4.0.0 to 4.0.1  Bumps [y18n](https://github.com/yargs/y18n) from 4.0.0 to 4.0.1. **This update includes a security fix.** - [Release notes](https://github.com/yargs/y18n/releases) - [Changelog](https://github.com/yargs/y18n/blob/master/CHANGELOG.md) - [Commits](https://github.com/yargs/y18n/commits)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
fu4303,starter-11ty-base,11,14d48cf84f65b78d63ef3b7e9be4c6513310767a,dependabot-preview[bot],2021-04-05 10:46:55,GitHub,2021-04-05 10:46:55,[Security] Bump axios from 0.19.2 to 0.21.1  Bumps [axios](https://github.com/axios/axios) from 0.19.2 to 0.21.1. **This update includes a security fix.** - [Release notes](https://github.com/axios/axios/releases) - [Changelog](https://github.com/axios/axios/blob/master/CHANGELOG.md) - [Commits](https://github.com/axios/axios/compare/v0.19.2...v0.21.1)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
aemc,material-ui,20,c14bde950fe2c5d8b83ac2d560391b1c40f33ec8,dependabot-preview[bot],2021-04-05 11:16:34,GitHub,2021-04-05 11:16:34,[Security] Bump next from 7.0.0 to 9.3.2  Bumps [next](https://github.com/vercel/next.js) from 7.0.0 to 9.3.2. **This update includes security fixes.** - [Release notes](https://github.com/vercel/next.js/releases) - [Changelog](https://github.com/vercel/next.js/blob/canary/release.js) - [Commits](https://github.com/vercel/next.js/compare/7.0.0...v9.3.2)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
lingnet,functions-samples,239,ed038996e3c35a78b9431a296b5a1ce7bc1e0fc2,dependabot-preview[bot],2021-04-05 11:22:40,GitHub,2021-04-05 11:22:40,[Security] Bump next from 3.0.1-beta.18 to 10.1.3  Bumps [next](https://github.com/vercel/next.js) from 3.0.1-beta.18 to 10.1.3. **This update includes security fixes.** - [Release notes](https://github.com/vercel/next.js/releases) - [Changelog](https://github.com/vercel/next.js/blob/canary/release.js) - [Commits](https://github.com/vercel/next.js/compare/3.0.1-beta.18...v10.1.3)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
Judahh,pocketDoc,153,ae174021db53b418220750ffdce42bf1ea86c5f6,dependabot-preview[bot],2021-04-05 10:22:50,GitHub,2021-04-05 10:22:50,[Security] Bump mongoose from 5.6.5 to 5.12.3  Bumps [mongoose](https://github.com/Automattic/mongoose) from 5.6.5 to 5.12.3. **This update includes a security fix.** - [Release notes](https://github.com/Automattic/mongoose/releases) - [Changelog](https://github.com/Automattic/mongoose/blob/master/History.md) - [Commits](https://github.com/Automattic/mongoose/compare/5.6.5...5.12.3)  Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
